Time, Temperature, Dew Point, Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition, 
12:00 AM, 84 °F, 75 °F, 74 %,  SSW, 10 mph, 0 mph, 29.79 in, 0.0 in, 
12:30 AM, 84 °F, 75 °F, 74 %,  SSW, 9 mph, 0 mph, 29.79 in, 0.0 in, 
1:00 AM, 84 °F, 75 °F, 74 %,  SSW, 10 mph, 0 mph, 29.79 in, 0.0 in, 
1:30 AM, 84 °F, 75 °F, 74 %,  SSW, 10 mph, 0 mph, 29.79 in, 0.0 in, 
2:00 AM, 82 °F, 75 °F, 79 %,  SSW, 9 mph, 0 mph, 29.76 in, 0.0 in, 
2:30 AM, 82 °F, 77 °F, 84 %,  SSW, 8 mph, 0 mph, 29.76 in, 0.0 in, 
3:00 AM, 82 °F, 77 °F, 84 %,  SSW, 9 mph, 0 mph, 29.76 in, 0.0 in, 
3:30 AM, 82 °F, 77 °F, 84 %,  SW, 8 mph, 0 mph, 29.76 in, 0.0 in, 
4:00 AM, 82 °F, 77 °F, 84 %,  SSW, 7 mph, 0 mph, 29.76 in, 0.0 in, 
4:30 AM, 82 °F, 77 °F, 84 %,  SSW, 6 mph, 0 mph, 29.79 in, 0.0 in, 
5:00 AM, 82 °F, 77 °F, 84 %,  SSW, 7 mph, 0 mph, 29.79 in, 0.0 in, 
5:30 AM, 82 °F, 77 °F, 84 %,  SSW, 8 mph, 0 mph, 29.79 in, 0.0 in, 
6:00 AM, 82 °F, 77 °F, 84 %,  SSW, 7 mph, 0 mph, 29.79 in, 0.0 in, 
6:30 AM, 82 °F, 77 °F, 84 %,  SSW, 6 mph, 0 mph, 29.79 in, 0.0 in, 
7:00 AM, 84 °F, 77 °F, 79 %,  SW, 6 mph, 0 mph, 29.82 in, 0.0 in, 
7:30 AM, 84 °F, 77 °F, 79 %,  SSW, 5 mph, 0 mph, 29.82 in, 0.0 in, 
8:00 AM, 86 °F, 75 °F, 70 %,  SW, 3 mph, 0 mph, 29.85 in, 0.0 in, 
8:30 AM, 88 °F, 77 °F, 70 %,  SSW, 5 mph, 0 mph, 29.85 in, 0.0 in, 
9:00 AM, 90 °F, 73 °F, 59 %,  SSW, 6 mph, 0 mph, 29.85 in, 0.0 in, 
9:30 AM, 90 °F, 72 °F, 55 %,  SW, 6 mph, 0 mph, 29.82 in, 0.0 in, 
10:00 AM, 90 °F, 72 °F, 55 %,  SW, 6 mph, 0 mph, 29.82 in, 0.0 in, 
10:30 AM, 91 °F, 72 °F, 52 %,  VAR, 3 mph, 0 mph, 29.82 in, 0.0 in, 
11:00 AM, 91 °F, 72 °F, 52 %,  SSE, 7 mph, 0 mph, 29.82 in, 0.0 in, 
11:30 AM, 93 °F, 72 °F, 49 %,  VAR, 2 mph, 0 mph, 29.79 in, 0.0 in, 
12:00 PM, 95 °F, 72 °F, 47 %,  W, 6 mph, 0 mph, 29.79 in, 0.0 in, 
12:30 PM, 93 °F, 68 °F, 44 %,  WSW, 6 mph, 0 mph, 29.76 in, 0.0 in, 
1:00 PM, 95 °F, 70 °F, 44 %,  VAR, 5 mph, 0 mph, 29.76 in, 0.0 in, 
1:30 PM, 97 °F, 70 °F, 41 %,  SW, 5 mph, 0 mph, 29.73 in, 0.0 in, 
2:00 PM, 95 °F, 68 °F, 41 %,  SW, 7 mph, 0 mph, 29.70 in, 0.0 in, 
2:30 PM, 95 °F, 70 °F, 44 %,  VAR, 6 mph, 0 mph, 29.70 in, 0.0 in, 
3:00 PM, 95 °F, 73 °F, 49 %,  S, 9 mph, 0 mph, 29.67 in, 0.0 in, 
3:30 PM, 95 °F, 73 °F, 49 %,  S, 7 mph, 0 mph, 29.67 in, 0.0 in, 
4:00 PM, 93 °F, 73 °F, 52 %,  S, 9 mph, 0 mph, 29.67 in, 0.0 in, 
4:30 PM, 93 °F, 73 °F, 52 %,  S, 10 mph, 0 mph, 29.70 in, 0.0 in, 
5:00 PM, 93 °F, 73 °F, 52 %,  S, 9 mph, 0 mph, 29.70 in, 0.0 in, 
5:30 PM, 91 °F, 75 °F, 59 %,  S, 9 mph, 0 mph, 29.70 in, 0.0 in, 
6:00 PM, 90 °F, 73 °F, 59 %,  SSE, 8 mph, 0 mph, 29.70 in, 0.0 in, 
6:30 PM, 90 °F, 73 °F, 59 %,  S, 10 mph, 0 mph, 29.70 in, 0.0 in, 
7:00 PM, 88 °F, 75 °F, 66 %,  S, 7 mph, 0 mph, 29.73 in, 0.0 in, 
7:30 PM, 88 °F, 75 °F, 66 %,  SSE, 10 mph, 0 mph, 29.73 in, 0.0 in, 
8:00 PM, 86 °F, 75 °F, 70 %,  SSE, 8 mph, 0 mph, 29.73 in, 0.0 in, 
8:30 PM, 86 °F, 75 °F, 70 %,  S, 8 mph, 0 mph, 29.76 in, 0.0 in, 
9:00 PM, 86 °F, 73 °F, 66 %,  S, 8 mph, 0 mph, 29.76 in, 0.0 in, 
9:30 PM, 86 °F, 75 °F, 70 %,  SSE, 7 mph, 0 mph, 29.76 in, 0.0 in, 
10:00 PM, 86 °F, 77 °F, 74 %,  SSE, 8 mph, 0 mph, 29.79 in, 0.0 in, 
10:30 PM, 86 °F, 77 °F, 74 %,  SSE, 8 mph, 0 mph, 29.79 in, 0.0 in, 
11:00 PM, 86 °F, 77 °F, 74 %,  S, 6 mph, 0 mph, 29.79 in, 0.0 in, 
11:30 PM, 84 °F, 77 °F, 79 %,  S, 8 mph, 0 mph, 29.79 in, 0.0 in, 
