Time, Temperature, Dew Point, Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition, 
12:00 AM, 79 °F, 77 °F, 94 %,  SSW, 3 mph, 0 mph, 29.82 in, 0.0 in, 
12:30 AM, 79 °F, 79 °F, 100 %,  S, 5 mph, 0 mph, 29.82 in, 0.0 in, 
1:00 AM, 79 °F, 77 °F, 94 %,  VAR, 3 mph, 0 mph, 29.82 in, 0.0 in, 
1:30 AM, 79 °F, 77 °F, 94 %,  SE, 10 mph, 0 mph, 29.79 in, 0.0 in, Light Rain, 
2:00 AM, 75 °F, 75 °F, 100 %,  ESE, 7 mph, 0 mph, 29.79 in, 0.0 in, Light Rain, 
2:30 AM, 75 °F, 75 °F, 100 %,  VAR, 3 mph, 0 mph, 29.79 in, 0.0 in, 
3:00 AM, 75 °F, 75 °F, 100 %,  SSW, 5 mph, 0 mph, 29.79 in, 0.0 in, 
3:30 AM, 75 °F, 75 °F, 100 %,  VAR, 3 mph, 0 mph, 29.79 in, 0.0 in, 
4:00 AM, 75 °F, 75 °F, 100 %,  SSW, 5 mph, 0 mph, 29.79 in, 0.0 in, 
4:30 AM, 75 °F, 75 °F, 100 %,  SSW, 5 mph, 0 mph, 29.79 in, 0.0 in, 
5:00 AM, 75 °F, 75 °F, 100 %,  SW, 5 mph, 0 mph, 29.79 in, 0.0 in, 
5:30 AM, 75 °F, 75 °F, 100 %,  VAR, 2 mph, 0 mph, 29.79 in, 0.0 in, 
6:00 AM, 75 °F, 75 °F, 100 %,  WNW, 1 mph, 0 mph, 29.82 in, 0.0 in, 
6:30 AM, 75 °F, 75 °F, 100 %,  W, 2 mph, 0 mph, 29.82 in, 0.0 in, 
7:00 AM, 77 °F, 75 °F, 94 %,  VAR, 1 mph, 0 mph, 29.82 in, 0.0 in, 
7:30 AM, 77 °F, 75 °F, 94 %,  VAR, 1 mph, 0 mph, 29.85 in, 0.0 in, 
8:00 AM, 79 °F, 75 °F, 89 %,  VAR, 1 mph, 0 mph, 29.85 in, 0.0 in, 
8:30 AM, 79 °F, 75 °F, 89 %,  VAR, 1 mph, 0 mph, 29.85 in, 0.0 in, 
9:00 AM, 81 °F, 77 °F, 89 %,  VAR, 2 mph, 0 mph, 29.85 in, 0.0 in, 
9:30 AM, 82 °F, 77 °F, 84 %,  VAR, 3 mph, 0 mph, 29.85 in, 0.0 in, 
10:00 AM, 84 °F, 77 °F, 79 %,  VAR, 2 mph, 0 mph, 29.85 in, 0.0 in, 
10:30 AM, 84 °F, 77 °F, 79 %,  VAR, 2 mph, 0 mph, 29.85 in, 0.0 in, 
11:00 AM, 84 °F, 77 °F, 79 %,  VAR, 3 mph, 0 mph, 29.82 in, 0.0 in, 
11:30 AM, 86 °F, 77 °F, 74 %,  VAR, 3 mph, 0 mph, 29.82 in, 0.0 in, 
12:00 PM, 88 °F, 77 °F, 70 %,  VAR, 2 mph, 0 mph, 29.79 in, 0.0 in, 
12:30 PM, 88 °F, 73 °F, 62 %,  VAR, 1 mph, 0 mph, 29.79 in, 0.0 in, 
1:00 PM, 86 °F, 77 °F, 74 %,  VAR, 2 mph, 0 mph, 29.76 in, 0.0 in, 
1:30 PM, 88 °F, 77 °F, 70 %,  VAR, 1 mph, 0 mph, 29.76 in, 0.0 in, 
2:00 PM, 88 °F, 77 °F, 70 %,  VAR, 3 mph, 0 mph, 29.73 in, 0.0 in, 
2:30 PM, 88 °F, 77 °F, 70 %,  VAR, 1 mph, 0 mph, 29.73 in, 0.0 in, 
3:00 PM, 90 °F, 75 °F, 62 %,  CALM, 0 mph, 0 mph, 29.73 in, 0.0 in, 
3:30 PM, 90 °F, 73 °F, 59 %,  VAR, 2 mph, 0 mph, 29.73 in, 0.0 in, 
4:00 PM, 90 °F, 75 °F, 62 %,  E, 1 mph, 0 mph, 29.73 in, 0.0 in, 
4:30 PM, 86 °F, 77 °F, 74 %,  SSE, 6 mph, 0 mph, 29.73 in, 0.0 in, 
5:00 PM, 86 °F, 77 °F, 74 %,  S, 8 mph, 0 mph, 29.76 in, 0.0 in, 
5:30 PM, 84 °F, 77 °F, 79 %,  S, 7 mph, 0 mph, 29.76 in, 0.0 in, 
6:00 PM, 84 °F, 77 °F, 79 %,  SSW, 7 mph, 0 mph, 29.76 in, 0.0 in, 
6:30 PM, 84 °F, 77 °F, 79 %,  S, 7 mph, 0 mph, 29.79 in, 0.0 in, 
7:00 PM, 82 °F, 79 °F, 89 %,  S, 6 mph, 0 mph, 29.79 in, 0.0 in, 
7:30 PM, 82 °F, 79 °F, 89 %,  SSE, 7 mph, 0 mph, 29.82 in, 0.0 in, 
8:00 PM, 82 °F, 79 °F, 89 %,  S, 6 mph, 0 mph, 29.82 in, 0.0 in, 
8:30 PM, 81 °F, 79 °F, 94 %,  S, 8 mph, 0 mph, 29.82 in, 0.0 in, 
9:00 PM, 81 °F, 79 °F, 94 %,  SSE, 8 mph, 0 mph, 29.85 in, 0.0 in, 
9:30 PM, 81 °F, 79 °F, 94 %,  S, 7 mph, 0 mph, 29.85 in, 0.0 in, 
10:00 PM, 81 °F, 79 °F, 94 %,  S, 6 mph, 0 mph, 29.85 in, 0.0 in, 
10:30 PM, 81 °F, 79 °F, 94 %,  S, 8 mph, 0 mph, 29.85 in, 0.0 in, 
11:00 PM, 81 °F, 79 °F, 94 %,  S, 7 mph, 0 mph, 29.82 in, 0.0 in, 
11:30 PM, 81 °F, 79 °F, 94 %,  S, 8 mph, 0 mph, 29.85 in, 0.0 in, 
