Time, Temperature, Dew Point, Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition, 
12:00 AM, 82 °F, 81 °F, 94 %,  SSW, 7 mph, 0 mph, 29.76 in, 0.0 in, 
1:30 AM, 82 °F, 81 °F, 94 %,  SW, 13 mph, 0 mph, 29.76 in, 0.0 in, 
2:30 AM, 82 °F, 81 °F, 94 %,  SW, 9 mph, 0 mph, 29.76 in, 0.0 in, 
3:00 AM, 82 °F, 81 °F, 94 %,  VAR, 3 mph, 0 mph, 29.76 in, 0.0 in, 
3:30 AM, 82 °F, 81 °F, 94 %,  VAR, 7 mph, 0 mph, 29.76 in, 0.0 in, 
4:00 AM, 79 °F, 77 °F, 94 %,  NNE, 6 mph, 0 mph, 29.76 in, 0.0 in, 
4:30 AM, 79 °F, 77 °F, 94 %,  VAR, 1 mph, 0 mph, 29.76 in, 0.0 in, 
5:00 AM, 79 °F, 77 °F, 94 %,  ESE, 5 mph, 0 mph, 29.76 in, 0.0 in, 
5:30 AM, 79 °F, 77 °F, 94 %,  E, 3 mph, 0 mph, 29.76 in, 0.0 in, 
6:00 AM, 79 °F, 77 °F, 94 %,  ESE, 6 mph, 0 mph, 29.79 in, 0.0 in, 
6:30 AM, 79 °F, 77 °F, 94 %,  SE, 6 mph, 0 mph, 29.79 in, 0.0 in, 
7:00 AM, 79 °F, 77 °F, 94 %,  SE, 5 mph, 0 mph, 29.79 in, 0.0 in, 
7:30 AM, 79 °F, 77 °F, 94 %,  VAR, 1 mph, 0 mph, 29.79 in, 0.0 in, 
8:00 AM, 81 °F, 77 °F, 89 %,  SE, 3 mph, 0 mph, 29.82 in, 0.0 in, 
8:30 AM, 81 °F, 79 °F, 94 %,  VAR, 2 mph, 0 mph, 29.79 in, 0.0 in, 
9:00 AM, 82 °F, 79 °F, 89 %,  SW, 8 mph, 0 mph, 29.79 in, 0.0 in, 
9:30 AM, 82 °F, 81 °F, 94 %,  SSW, 8 mph, 0 mph, 29.79 in, 0.0 in, 
10:00 AM, 82 °F, 81 °F, 94 %,  S, 6 mph, 0 mph, 29.82 in, 0.0 in, 
10:30 AM, 84 °F, 81 °F, 89 %,  SW, 7 mph, 0 mph, 29.79 in, 0.0 in, 
11:00 AM, 86 °F, 82 °F, 89 %,  SSW, 9 mph, 0 mph, 29.79 in, 0.0 in, 
11:30 AM, 88 °F, 81 °F, 79 %,  SW, 8 mph, 0 mph, 29.79 in, 0.0 in, 
12:00 PM, 88 °F, 81 °F, 79 %,  SSW, 9 mph, 0 mph, 29.79 in, 0.0 in, 
12:30 PM, 88 °F, 81 °F, 79 %,  SSW, 12 mph, 0 mph, 29.76 in, 0.0 in, 
1:00 PM, 90 °F, 81 °F, 75 %,  SW, 7 mph, 0 mph, 29.76 in, 0.0 in, 
1:30 PM, 88 °F, 77 °F, 70 %,  WSW, 8 mph, 0 mph, 29.76 in, 0.0 in, 
2:00 PM, 90 °F, 77 °F, 66 %,  WSW, 8 mph, 0 mph, 29.73 in, 0.0 in, 
2:30 PM, 90 °F, 75 °F, 62 %,  SW, 7 mph, 0 mph, 29.73 in, 0.0 in, 
3:00 PM, 90 °F, 75 °F, 62 %,  WSW, 12 mph, 0 mph, 29.73 in, 0.0 in, Showers in, 
3:30 PM, 88 °F, 77 °F, 70 %,  SW, 10 mph, 0 mph, 29.73 in, 0.0 in, 
4:00 PM, 88 °F, 77 °F, 70 %,  SSW, 7 mph, 0 mph, 29.73 in, 0.0 in, 
4:30 PM, 88 °F, 77 °F, 70 %,  SW, 3 mph, 0 mph, 29.73 in, 0.0 in, Showers in, 
5:00 PM, 82 °F, 75 °F, 79 %,  NW, 7 mph, 0 mph, 29.73 in, 0.0 in, Light Rain, 
6:00 PM, 81 °F, 77 °F, 89 %,  VAR, 2 mph, 0 mph, 29.73 in, 0.0 in, Light Rain, 
6:30 PM, 81 °F, 79 °F, 94 %,  VAR, 1 mph, 0 mph, 29.76 in, 0.0 in, Light Rain, 
7:00 PM, 81 °F, 79 °F, 94 %,  VAR, 1 mph, 0 mph, 29.76 in, 0.0 in, 
7:30 PM, 81 °F, 79 °F, 94 %,  ENE, 3 mph, 0 mph, 29.76 in, 0.0 in, 
8:00 PM, 81 °F, 79 °F, 94 %,  VAR, 1 mph, 0 mph, 29.76 in, 0.0 in, 
8:30 PM, 82 °F, 79 °F, 89 %,  VAR, 2 mph, 0 mph, 29.79 in, 0.0 in, 
9:00 PM, 82 °F, 79 °F, 89 %,  WSW, 6 mph, 0 mph, 29.79 in, 0.0 in, 
9:30 PM, 81 °F, 79 °F, 94 %,  SW, 9 mph, 0 mph, 29.79 in, 0.0 in, 
10:00 PM, 82 °F, 77 °F, 84 %,  WSW, 8 mph, 0 mph, 29.79 in, 0.0 in, 
10:30 PM, 81 °F, 77 °F, 89 %,  WSW, 7 mph, 0 mph, 29.82 in, 0.0 in, 
11:00 PM, 81 °F, 77 °F, 89 %,  WSW, 6 mph, 0 mph, 29.82 in, 0.0 in, 
11:30 PM, 81 °F, 77 °F, 89 %,  WSW, 6 mph, 0 mph, 29.82 in, 0.0 in, 
