,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Date,DateTime
0,12:00 AM,90.0,79.0,70.0, ESE,6.0,0.0,29.51, 0.0 in, Fair,2019-07-14,2019-07-14 00:00:00
1,12:30 AM,88.0,79.0,75.0, ENE,6.0,0.0,29.51, 0.0 in, Fair,2019-07-14,2019-07-14 00:30:00
2,1:00 AM,88.0,79.0,75.0, E,6.0,0.0,29.51, 0.0 in, Fair,2019-07-14,2019-07-14 01:00:00
3,1:30 AM,86.0,79.0,79.0, ENE,6.0,0.0,29.51, 0.0 in, Fair,2019-07-14,2019-07-14 01:30:00
4,2:00 AM,88.0,79.0,75.0, ENE,5.0,0.0,29.51, 0.0 in, Fair,2019-07-14,2019-07-14 02:00:00
5,2:30 AM,86.0,81.0,84.0, ENE,5.0,0.0,29.48, 0.0 in, Fair,2019-07-14,2019-07-14 02:30:00
6,3:00 AM,86.0,82.0,89.0, E,3.0,0.0,29.48, 0.0 in, Fair,2019-07-14,2019-07-14 03:00:00
7,3:30 AM,86.0,82.0,89.0, E,3.0,0.0,29.48, 0.0 in, Fair,2019-07-14,2019-07-14 03:30:00
8,4:00 AM,86.0,84.0,94.0, E,5.0,0.0,29.48, 0.0 in, Fair,2019-07-14,2019-07-14 04:00:00
9,4:30 AM,86.0,84.0,94.0, ENE,5.0,0.0,29.48, 0.0 in, Fair,2019-07-14,2019-07-14 04:30:00
10,5:00 AM,86.0,86.0,100.0, NE,5.0,0.0,29.48, 0.0 in, Fair,2019-07-14,2019-07-14 05:00:00
11,5:30 AM,86.0,86.0,100.0, NE,3.0,0.0,29.48, 0.0 in, Fair,2019-07-14,2019-07-14 05:30:00
12,6:00 AM,86.0,86.0,100.0, NE,5.0,0.0,29.51, 0.0 in, Fair,2019-07-14,2019-07-14 06:00:00
13,6:30 AM,86.0,86.0,100.0, ENE,5.0,0.0,29.51, 0.0 in, Fair,2019-07-14,2019-07-14 06:30:00
14,7:00 AM,86.0,86.0,100.0, VAR,2.0,0.0,29.51, 0.0 in, Fair,2019-07-14,2019-07-14 07:00:00
15,7:30 AM,86.0,86.0,100.0, NNE,5.0,0.0,29.54, 0.0 in, Fair,2019-07-14,2019-07-14 07:30:00
16,8:00 AM,86.0,86.0,100.0, NE,6.0,0.0,29.54, 0.0 in, Light Rain,2019-07-14,2019-07-14 08:00:00
17,8:30 AM,86.0,86.0,100.0, NE,6.0,0.0,29.54, 0.0 in, Fair,2019-07-14,2019-07-14 08:30:00
18,9:00 AM,86.0,86.0,100.0, NNE,5.0,0.0,29.57, 0.0 in, Fair,2019-07-14,2019-07-14 09:00:00
19,9:30 AM,86.0,86.0,100.0, VAR,5.0,0.0,29.57, 0.0 in, Fair,2019-07-14,2019-07-14 09:30:00
20,10:00 AM,86.0,84.0,94.0, NNE,6.0,0.0,29.57, 0.0 in, Fair,2019-07-14,2019-07-14 10:00:00
21,10:30 AM,86.0,82.0,89.0, NNE,6.0,0.0,29.57, 0.0 in, Fair,2019-07-14,2019-07-14 10:30:00
22,11:00 AM,86.0,82.0,89.0, NNE,6.0,0.0,29.57, 0.0 in, Fair,2019-07-14,2019-07-14 11:00:00
23,11:30 AM,88.0,82.0,84.0, VAR,6.0,0.0,29.57, 0.0 in, Fair,2019-07-14,2019-07-14 11:30:00
24,12:00 PM,86.0,81.0,84.0, VAR,6.0,0.0,29.54, 0.0 in, Fair,2019-07-14,2019-07-14 12:00:00
25,12:30 PM,86.0,81.0,84.0, NNE,5.0,0.0,29.54, 0.0 in, Fair,2019-07-14,2019-07-14 12:30:00
